,Relative Gain,Fold,Prototype,Data Dimension,Center Dimension,Data Set
196,-0.006794206740964204,3,flag_median,1,2,gse73072_hrv_48_64_shedder48_64
197,0.02504295904021081,4,flag_median,1,2,gse73072_hrv_48_64_shedder48_64
198,-0.0029823508514468244,2,eigengene,1,4,gse73072_hrv_48_64_shedder48_64
199,0.027825881100953298,4,eigengene,1,4,gse73072_hrv_48_64_shedder48_64
200,0.017572347816647627,0,flag_mean,1,4,gse73072_hrv_48_64_shedder48_64
201,0.021337589259154965,1,flag_mean,1,4,gse73072_hrv_48_64_shedder48_64
202,0.0028686916905047433,2,flag_mean,1,4,gse73072_hrv_48_64_shedder48_64
203,0.0033925193437438494,3,flag_mean,1,4,gse73072_hrv_48_64_shedder48_64
204,0.025774215279119828,0,flag_median,1,4,gse73072_hrv_48_64_shedder48_64
205,0.03663499028171269,1,flag_median,1,4,gse73072_hrv_48_64_shedder48_64
206,0.006804847582363216,2,flag_median,1,4,gse73072_hrv_48_64_shedder48_64
207,0.012730351588059463,3,flag_median,1,4,gse73072_hrv_48_64_shedder48_64
208,0.02968116247478192,4,flag_median,1,4,gse73072_hrv_48_64_shedder48_64
209,0.03417985184599326,1,eigengene,1,8,gse73072_hrv_48_64_shedder48_64
210,-0.005854680826586911,2,eigengene,1,8,gse73072_hrv_48_64_shedder48_64
211,-0.011038675942925846,3,eigengene,1,8,gse73072_hrv_48_64_shedder48_64
212,0.003707223241183888,4,eigengene,1,8,gse73072_hrv_48_64_shedder48_64
213,0.010542175705956502,0,flag_mean,1,8,gse73072_hrv_48_64_shedder48_64
214,0.026720008137462115,1,flag_mean,1,8,gse73072_hrv_48_64_shedder48_64
215,-0.012024871143554106,2,flag_mean,1,8,gse73072_hrv_48_64_shedder48_64
216,-0.023772083548810885,3,flag_mean,1,8,gse73072_hrv_48_64_shedder48_64
217,-0.014845590497100547,4,flag_mean,1,8,gse73072_hrv_48_64_shedder48_64
218,0.013877000937950967,0,flag_median,1,8,gse73072_hrv_48_64_shedder48_64
219,0.015105314768483202,1,flag_median,1,8,gse73072_hrv_48_64_shedder48_64
220,0.013932481224376625,2,flag_median,1,8,gse73072_hrv_48_64_shedder48_64
221,0.007417785988840686,4,flag_median,1,8,gse73072_hrv_48_64_shedder48_64
222,0.0035850498008780374,1,flag_mean,2,1,gse73072_hrv_48_64_shedder48_64
223,0.012123977165955369,2,flag_mean,2,1,gse73072_hrv_48_64_shedder48_64
224,0.008081438682425057,2,flag_median,2,1,gse73072_hrv_48_64_shedder48_64
225,0.02318767766638241,4,flag_median,2,1,gse73072_hrv_48_64_shedder48_64
226,0.042718732674118076,0,flag_mean,2,2,gse73072_hrv_48_64_shedder48_64
227,0.05391538773311999,1,flag_mean,2,2,gse73072_hrv_48_64_shedder48_64
228,0.042655780975775714,2,flag_mean,2,2,gse73072_hrv_48_64_shedder48_64
229,0.028859334555513927,3,flag_mean,2,2,gse73072_hrv_48_64_shedder48_64
230,0.06029330514295106,4,flag_mean,2,2,gse73072_hrv_48_64_shedder48_64
231,0.0470449924345433,0,flag_median,2,2,gse73072_hrv_48_64_shedder48_64
232,0.05750366698532505,1,flag_median,2,2,gse73072_hrv_48_64_shedder48_64
233,0.05180468385955428,2,flag_median,2,2,gse73072_hrv_48_64_shedder48_64
234,0.03310380375747579,3,flag_median,2,2,gse73072_hrv_48_64_shedder48_64
235,0.06771443063826488,4,flag_median,2,2,gse73072_hrv_48_64_shedder48_64
236,0.050469948078213145,0,flag_mean,2,4,gse73072_hrv_48_64_shedder48_64
237,0.05835352259768922,1,flag_mean,2,4,gse73072_hrv_48_64_shedder48_64
238,0.04361322430082226,2,flag_mean,2,4,gse73072_hrv_48_64_shedder48_64
239,0.024614865353552284,3,flag_mean,2,4,gse73072_hrv_48_64_shedder48_64
240,0.06214858651677968,4,flag_mean,2,4,gse73072_hrv_48_64_shedder48_64
241,0.04199768938071391,0,flag_median,2,4,gse73072_hrv_48_64_shedder48_64
242,0.05136582089602704,1,flag_median,2,4,gse73072_hrv_48_64_shedder48_64
243,0.04382598948416572,2,flag_median,2,4,gse73072_hrv_48_64_shedder48_64
244,0.030557122236298806,3,flag_median,2,4,gse73072_hrv_48_64_shedder48_64
245,0.06493150857752239,4,flag_median,2,4,gse73072_hrv_48_64_shedder48_64
246,0.04100625485228315,0,flag_mean,2,8,gse73072_hrv_48_64_shedder48_64
247,0.05438752973998917,1,flag_mean,2,8,gse73072_hrv_48_64_shedder48_64
248,0.04871958870107096,2,flag_mean,2,8,gse73072_hrv_48_64_shedder48_64
249,0.030557122236298806,3,flag_mean,2,8,gse73072_hrv_48_64_shedder48_64
250,0.050089257586894975,4,flag_mean,2,8,gse73072_hrv_48_64_shedder48_64
251,0.04776603572794724,0,flag_median,2,8,gse73072_hrv_48_64_shedder48_64
252,0.047022114432831774,1,flag_median,2,8,gse73072_hrv_48_64_shedder48_64
253,0.03967706840896379,2,flag_median,2,8,gse73072_hrv_48_64_shedder48_64
254,0.02631265303433694,3,flag_median,2,8,gse73072_hrv_48_64_shedder48_64
255,0.0769908375074071,4,flag_median,2,8,gse73072_hrv_48_64_shedder48_64
256,0.05599324164325359,0,eigengene,1,1,salmonella_Liver
257,-0.00962300289997764,1,eigengene,1,1,salmonella_Liver
258,0.0593148521026976,2,eigengene,1,1,salmonella_Liver
259,0.14129442352675192,3,eigengene,1,1,salmonella_Liver
260,-0.08047245325351826,4,eigengene,1,1,salmonella_Liver
261,0.031993395242270406,0,flag_mean,1,1,salmonella_Liver
262,0.05768417166021811,1,flag_mean,1,1,salmonella_Liver
263,0.050840333285876005,2,flag_mean,1,1,salmonella_Liver
264,0.11955548212624234,3,flag_mean,1,1,salmonella_Liver
265,-0.09196654758784928,4,flag_mean,1,1,salmonella_Liver
266,0.07199313924390882,0,flag_median,1,1,salmonella_Liver
267,0.009607618402935447,1,flag_median,1,1,salmonella_Liver
268,0.04236581446905441,2,flag_median,1,1,salmonella_Liver
269,0.09781654072573276,3,flag_median,1,1,salmonella_Liver
270,-0.12644883059084233,4,flag_median,1,1,salmonella_Liver
271,0.1279927808462027,0,module_expression,1,1,salmonella_Liver
272,0.0480688610087614,1,module_expression,1,1,salmonella_Liver
273,0.0677893709195192,2,module_expression,1,1,salmonella_Liver
274,0.11955548212624234,3,module_expression,1,1,salmonella_Liver
275,-0.09196654758784928,4,module_expression,1,1,salmonella_Liver
276,0.07199313924390882,0,eigengene,1,2,salmonella_Liver
277,0.0480688610087614,1,eigengene,1,2,salmonella_Liver
278,0.04236581446905441,2,eigengene,1,2,salmonella_Liver
279,0.11955548212624234,3,eigengene,1,2,salmonella_Liver
280,0.10576072491750055,1,flag_mean,1,2,salmonella_Liver
281,-0.12644883059084233,4,flag_mean,1,2,salmonella_Liver
282,0.0639931904435811,0,flag_median,1,2,salmonella_Liver
283,-7.69224852115169e-06,1,flag_median,1,2,salmonella_Liver
284,-0.11495473625651131,4,flag_median,1,2,salmonella_Liver
285,0.07999308804423655,0,eigengene,1,4,salmonella_Liver
286,0.11537603556895726,1,eigengene,1,4,salmonella_Liver
287,0.050840333285876005,2,eigengene,1,4,salmonella_Liver
288,0.14129442352675192,3,eigengene,1,4,salmonella_Liver
289,-0.12644883059084233,4,eigengene,1,4,salmonella_Liver
290,0.02399344644194268,0,flag_mean,1,4,salmonella_Liver
291,0.1538372781747832,1,flag_mean,1,4,salmonella_Liver
292,0.04236581446905441,2,flag_mean,1,4,salmonella_Liver
293,0.11955548212624234,3,flag_mean,1,4,salmonella_Liver
294,-0.19541339659682833,4,flag_mean,1,4,salmonella_Liver
