,Data Set,Algorithm,Central Prototype,Data Dimension,Center Dimension,Fold,Module Number,BSR,Size
95,gse73072_hrv_48_64,WGCNA_LBG,eigengene,1,1,1,31,0.9444444444444444,802
96,gse73072_hrv_48_64,WGCNA_LBG,eigengene,1,1,1,32,0.9444444444444444,555
97,gse73072_hrv_48_64,WGCNA_LBG,eigengene,1,1,1,33,0.9181286549707601,286
98,ebola_Liver_Tolerant,WGCNA_LBG,eigengene,1,1,1,0,1.0,690
99,ebola_Liver_Tolerant,WGCNA_LBG,eigengene,1,1,1,1,1.0,3282
100,ebola_Spleen_Tolerant,WGCNA_LBG,eigengene,1,1,0,0,1.0,2945
101,ebola_Spleen_Tolerant,WGCNA_LBG,eigengene,1,1,0,1,1.0,1066
102,gse73072_hrv_48_64,WGCNA_LBG,eigengene,1,1,2,0,0.9181286549707601,492
103,gse73072_hrv_48_64,WGCNA_LBG,eigengene,1,1,2,1,0.8625730994152047,1350
104,gse73072_hrv_48_64,WGCNA_LBG,eigengene,1,1,2,2,0.45029239766081874,19
105,gse73072_hrv_48_64,WGCNA_LBG,eigengene,1,1,2,3,0.9444444444444444,1140
106,gse73072_hrv_48_64,WGCNA_LBG,eigengene,1,1,2,4,0.9181286549707601,737
107,gse73072_hrv_48_64,WGCNA_LBG,eigengene,1,1,2,5,0.8625730994152047,336
108,gse73072_hrv_48_64,WGCNA_LBG,eigengene,1,1,2,6,0.6695906432748537,113
109,gse73072_hrv_48_64,WGCNA_LBG,eigengene,1,1,2,7,0.8654970760233918,79
110,gse73072_hrv_48_64,WGCNA_LBG,eigengene,1,1,2,8,0.9444444444444444,1000
111,gse73072_hrv_48_64,WGCNA_LBG,eigengene,1,1,2,9,0.9736842105263157,708
112,gse73072_hrv_48_64,WGCNA_LBG,eigengene,1,1,2,10,0.8654970760233918,676
113,gse73072_hrv_48_64,WGCNA_LBG,eigengene,1,1,2,11,0.8362573099415205,168
114,gse73072_hrv_48_64,WGCNA_LBG,eigengene,1,1,2,12,0.9736842105263157,410
115,gse73072_hrv_48_64,WGCNA_LBG,eigengene,1,1,2,13,0.9444444444444444,2623
116,gse73072_hrv_48_64,WGCNA_LBG,eigengene,1,1,2,14,0.9736842105263157,1258
117,gse73072_hrv_48_64,WGCNA_LBG,eigengene,1,1,2,15,0.9444444444444444,651
118,gse73072_hrv_48_64,WGCNA_LBG,eigengene,1,1,2,16,0.9181286549707601,357
119,gse73072_hrv_48_64,WGCNA_LBG,eigengene,1,1,2,17,0.8888888888888888,1663
120,gse73072_hrv_48_64,WGCNA_LBG,eigengene,1,1,2,18,0.8888888888888888,629
121,gse73072_hrv_48_64,WGCNA_LBG,eigengene,1,1,2,19,0.8625730994152047,470
