,Data Set,Center Dimension,Fold,Module Number,Explained Variance,Size
0,salmonella_Liver,1,2,5,0.7547253010721724,2484
0,salmonella_Liver,1,2,6,0.6649670432486164,1730
0,salmonella_Liver,1,2,7,0.6087880123414936,1658
0,salmonella_Liver,1,2,8,0.5867402203841638,1015
0,salmonella_Liver,1,2,9,0.6185067999073061,757
0,salmonella_Liver,1,2,10,0.39518354164518277,1148
0,salmonella_Liver,1,2,11,0.5703475010921304,3128
0,salmonella_Liver,1,2,12,0.5018575911322368,747
0,salmonella_Liver,1,2,13,0.26850816764196583,1170
0,salmonella_Liver,1,2,14,0.42414100398362103,3399
0,salmonella_Liver,1,2,15,0.5363553913312861,992
0,salmonella_Liver_susceptible,1,3,0,0.2744904500082523,297
0,salmonella_Liver_susceptible,1,3,1,0.3076101983161961,821
0,salmonella_Liver_susceptible,1,3,2,0.23977957772975053,1063
0,salmonella_Liver_susceptible,1,3,3,0.18650589161924674,650
0,salmonella_Liver_susceptible,1,3,4,0.3571853505469455,1257
0,salmonella_Liver_susceptible,1,3,5,0.38183419078094444,725
0,salmonella_Liver_susceptible,1,3,6,0.47198612069344076,848
0,salmonella_Liver_susceptible,1,3,7,0.3864163396852401,2803
0,salmonella_Liver_susceptible,1,3,8,0.2791612182502885,893
0,salmonella_Liver_susceptible,1,3,9,0.40654116656622996,1131
0,salmonella_Liver_susceptible,1,3,10,0.3716695175819214,1206
0,salmonella_Liver_susceptible,1,3,11,0.4455667659023687,606
0,salmonella_Liver_susceptible,1,3,12,0.19859045952301843,581
0,salmonella_Liver_susceptible,1,3,13,0.32622139277910334,1533
0,salmonella_Liver_susceptible,1,3,14,0.25665737545951184,630
0,salmonella_Liver_susceptible,1,3,15,0.3514065559394202,1384
0,salmonella_Liver_susceptible,1,3,16,0.20014787677999182,3435
0,salmonella_Liver_susceptible,1,3,17,0.26034235201214323,566
0,salmonella_Liver_susceptible,1,3,18,0.3951815610047181,1713
0,salmonella_Liver_susceptible,1,3,19,0.23908381074372018,718
0,salmonella_Liver_susceptible,1,3,20,0.32547990394836784,818
0,salmonella_Liver_susceptible,1,3,21,0.252323799777411,737
0,salmonella_Liver_susceptible,1,3,22,0.5881820732862066,1205
0,salmonella_Liver_susceptible,1,3,23,0.4606361987866998,712
0,salmonella_Liver_susceptible,1,0,0,0.37706710661068826,1710
0,salmonella_Liver_susceptible,1,0,1,0.24095303269006646,739
0,salmonella_Liver_susceptible,1,0,2,0.4732209902610747,501
0,salmonella_Liver_susceptible,1,0,3,0.23705628595402406,515
0,salmonella_Liver_susceptible,1,0,4,0.31564325855916614,1273
0,salmonella_Liver_susceptible,1,0,5,0.23103926828867144,391
0,salmonella_Liver_susceptible,1,0,6,0.33735446676466035,1501
0,salmonella_Liver_susceptible,1,0,7,0.3630441192297402,380
0,salmonella_Liver_susceptible,1,0,8,0.35147772514424175,1997
0,salmonella_Liver_susceptible,1,0,9,0.2161621994591144,394
0,salmonella_Liver_susceptible,1,0,10,0.34084556276201106,1276
0,salmonella_Liver_susceptible,1,0,11,0.510837108529609,1086
0,salmonella_Liver_susceptible,1,0,12,0.19069413978840852,702
0,salmonella_Liver_susceptible,1,0,13,0.1915411792669386,797
0,salmonella_Liver_susceptible,1,0,14,0.20873820692417488,797
0,salmonella_Liver_susceptible,1,0,15,0.25657798565039064,852
0,salmonella_Liver_susceptible,1,0,16,0.2708212675841154,1017
0,salmonella_Liver_susceptible,1,0,17,0.40780915080603436,330
0,salmonella_Liver_susceptible,1,0,18,0.1765652025983114,576
0,salmonella_Liver_susceptible,1,0,19,0.2535383227848642,3937
0,salmonella_Liver_susceptible,1,0,20,0.24608551865731856,567
0,salmonella_Liver_susceptible,1,0,21,0.26111327873255463,1189
0,salmonella_Liver_susceptible,1,0,22,0.30784098820582906,764
