,Mean Relative Gain,Std Relative Gain,Center Dimension,Data Dimension,Prototype,Data Set
0,,,2,1,flag_median,salmonella_Liver_susceptible
0,-1.0,0.0,2,2,flag_median,salmonella_Liver_susceptible
0,-1.0,0.0,4,1,flag_median,salmonella_Liver_susceptible
0,-1.0,0.0,4,2,flag_median,salmonella_Liver_susceptible
0,,,8,1,flag_median,salmonella_Liver_susceptible
0,-1.0,0.0,8,2,flag_median,salmonella_Liver_susceptible
0,-1.0,0.0,1,1,module_expression,salmonella_Liver_susceptible
0,-1.0,0.0,1,1,eigengene,salmonella_Liver_tolerant
0,-1.0,0.0,2,1,eigengene,salmonella_Liver_tolerant
0,-1.0,0.0,4,1,eigengene,salmonella_Liver_tolerant
0,-1.0,0.0,8,1,eigengene,salmonella_Liver_tolerant
0,-1.0,0.0,1,1,flag_mean,salmonella_Liver_tolerant
0,-1.0,0.0,1,2,flag_mean,salmonella_Liver_tolerant
0,,,2,1,flag_mean,salmonella_Liver_tolerant
0,-1.0,0.0,2,2,flag_mean,salmonella_Liver_tolerant
0,-1.0,0.0,4,1,flag_mean,salmonella_Liver_tolerant
0,-1.0,0.0,4,2,flag_mean,salmonella_Liver_tolerant
0,-1.0,0.0,8,1,flag_mean,salmonella_Liver_tolerant
0,-1.0,0.0,8,2,flag_mean,salmonella_Liver_tolerant
0,-1.0,0.0,1,1,flag_median,salmonella_Liver_tolerant
0,-1.0,0.0,1,2,flag_median,salmonella_Liver_tolerant
0,,,2,1,flag_median,salmonella_Liver_tolerant
0,-1.0,0.0,2,2,flag_median,salmonella_Liver_tolerant
0,-1.0,0.0,4,1,flag_median,salmonella_Liver_tolerant
0,-1.0,0.0,4,2,flag_median,salmonella_Liver_tolerant
0,-1.0,0.0,8,1,flag_median,salmonella_Liver_tolerant
0,-1.0,0.0,8,2,flag_median,salmonella_Liver_tolerant
0,-1.0,0.0,1,1,module_expression,salmonella_Liver_tolerant
