,module 2,module 11,module 16
227,3110003A17Rik,Cenpa,Pvalb
228,Erp29,2810432L12Rik,Sgol2
229,Ppm1j,Ighj2,Kcnj9
230,A330040F15Rik,Gm7251,Gm6565
231,Rap1gap,Lingo1,Gm10364
232,Tmem156,Cxcr3,Vmn1r184
233,Hmbs,Fam45a,Batf3
234,1700007L15Rik,Gm16105,Ankmy1
235,Adnp2,Lypd3,Gm10561
236,Robo1,Qser1,Gm5069
237,Csf3r,Cdh11,Ran
238,Synpr,Mir3968,Atp1a2
239,Rundc3b,Gm13470,Pomc
240,Dnajb5,Gm5611,Gm15452
241,Gm16977,1700080E11Rik,Cd244
242,Mlkl,Gm13192,B230216N24Rik
243,Actb,Sh2d5,Rpl18-ps2
244,Gm15533,Tmem66,Slc30a8
245,Spg7,Fam129c,Stat4
246,Ifit3,Alpl,Ier5
247,Ly6g,Hyal4,Capns2
248,Snx1,Fam46d,Gm14762
249,F630028O10Rik,Grm1,Gm10463
250,Laptm5,Phlpp2,Cxcr7
251,Eomes,Mastl,Ccdc37
252,Ncf4,Gp5,Ikbke
253,Minpp1,Tex21,Guca2a
254,Gm13966,Depdc1b,Gm15914
255,Ranbp10,4930524L23Rik,Traf5
256,Lca5l,Ighv1-30,Csnk2a1
257,Aptx,Nfxl1,Tmem163
258,Serpine1,Otud7a,Actr3
259,Cmklr1,Igkv8-16,Fam132b
260,Wisp3,Rhobtb3,Gm15900
261,Esam,Ano5,Gm9788
262,Cdc42bpg,Igkv3-7,1700010K24Rik
263,Mtif3,Blcap,Uck2
264,Smad7,Ighv1-62-2,Gm16193
265,Car13,Gm16738,Pi15
266,Zfp516,Fpr3,Rgs1
267,Gm17410,Gm15667,Gm2449
268,6530402F18Rik,Gm8203,Snora75
269,Capza1,Serpinb1-ps1,Gm10424
270,Mob3c,Ighv1-58,Gm10072
271,Arl10,Ccdc135,Als2cr12
272,BC029214,Atp6v1d,Gm13982
273,Rhoc,Gpx5,Gm5561
274,Stard7,A230072C01Rik,SNORA5
275,Cdkal1,Htr3b,Gm16581
276,Gm6493,Igkv4-55,Kcnj10
277,Efcab1,4632415L05Rik,Gm13361
278,Gm17598,Gm10327,Rpl27-ps1
279,Cage1,Cry1,2010300C02Rik
280,Ppil2,1810048J11Rik,Soat1
281,Zfp964,S100a10,Gm9845
282,Ccdc88b,Lrfn2,Cxcr4
283,Srgap1,Ighe,Nkx2-2
284,C430049B03Rik,Eci3,Gm7281
285,Sost,Igkv17-121,Eef1a2
286,Lipg,Galntl1,Gm15868
287,Fblim1,Rfc3,Gm16338
288,4930451E10Rik,Fgf13,Tmem206
289,Ogfod2,Asb13,Ttc24
290,AI837181,Ighv3-8,Lrp2
291,Clec4a1,Gpr150,Gm8292
292,D14Ertd668e,Vwf,Bcl2
293,C230012O17Rik,Vmn2r98,Gm17224
294,Fam164a,Adck1,AL833775.1
295,Sptlc2,Kif17,Faim3
296,Zfp90,Gga1,Il1rl1
297,Gbp7,Clvs1,Gm13591
298,Cerk,Ttc9,Mtap2
299,Gm16287,Pcdhb9,Gm15186
300,Vcan,Stambp,3110035E14Rik
301,Rab3a,Ccdc92,Mcm3
302,Mboat1,Myl2,Vmn1r-ps146
303,Sh2b2,Rbfox1,Angptl1
304,Mt1,Gria3,Snora41
305,Pcdh18,Susd5,Popdc3
306,Gm7665,Blk,Gm16168
307,Mir291b,Vwa5b2,Gli2
308,F630043A04Rik,Ppp1r3f,Chi3l1
309,Zbtb3,Usp14,n-R5s54
310,Ilf3,4931415C17Rik,4930594C11Rik
311,Msrb2,Shc2,Gm3244
312,B230317F23Rik,Gm5134,Ovol1
313,Col9a3,Peli3,Gm9762
314,Sat1,Igkv4-79,Col3a1
315,Gm16272,4930517O19Rik,SNORA72
316,Olig1,Gm15729,Kif21b
317,Cxcr6,Krt28,Slc35b3
318,Naip5,1700012B09Rik,Ncf2
319,9430020K01Rik,Klk13,Dusp10
320,Msr1,Spocd1,Muc4
321,Gm12267,Ltf,Gm12934
322,Gm13431,Cd3e,Gm15849
323,Arl6ip4,Gm10929,Sema4c
324,Plat,Chaf1b,Nfasc
325,Pdcd7,Slco4a1,Fndc7
326,Bst1,Tmprss7,Pycr2
327,1700034H14Rik,Cacna1h,Gm6640
328,Slc26a2,Tnfrsf17,Gm13710
329,Gm15283,4932438A13Rik,Igsf9
330,Npepl1,Gm17439,Mapk4
331,Rbbp7,Gm16876,Chml
332,Alkbh3,Gm12394,Gm2199
333,Gm17605,Rwdd1,Olfml2b
334,Ptpn12,Arrdc3,Akt3
335,Ets2,Gpr82,Ptpn14
336,Hivep3,Gm10827,Tll1
337,Slc29a3,Gpr31c,Cyp2b10
338,Oas1a,Camk2a,Tmcc2
339,Gm10343,Shh,Pcdhb17
340,Fam3b,Pola1,Insl3
341,Gm14047,Ighv1-54,Gm1070
342,Tmem69,Trav6-4,Daf2
343,RP23-268N22.1.1,Ms4a1,Gm10552
344,Acvrl1,Mef2c,Gm16180
345,Cul4a,Hmgn2,Prrx1
346,4933432B09Rik,Ston2,Gulp1
347,Cryzl1,Slc14a1,Pcdhb4
348,Tcirg1,Ncapg,B3gnt7
349,Ube2r2,Pde5a,Lax1
350,F630111L10Rik,Igkv4-59,AA987161
351,Gm9763,Olfr756-ps1,Gm10608
352,Gm7638,Gm15850,Aim2
353,Tapbpl,6030446N20Rik,Rpl17-ps4
354,Fam107b,Scnn1g,Gm17017
355,Rapgef5,Igkv1-99,Gm13418
356,Cmtm3,Mmp2,Cenpf
357,Gtf2ird2,Stx16,AC110235.1
358,Ddx58,Igkv2-109,Cldn6
359,Kcnk10,Commd2,5S_rRNA
360,Sla,D3Ertd751e,Gm15208
361,Gm4902,Gm7856,Plekhm3
362,Ndufb8,Chrna10,Enah
363,Serpina3i,Limch1,4921511H03Rik
364,Zfp456,Trbv13-3,Slamf1
365,Vill,Gm8121,Col10a1
366,Mup-ps18,Gm14303,Xcl1
367,Mterfd1,Iglv3,Gm4793
368,Klra2,Trav6n-6,Hist1h2ae
369,Rnft2,Unc80,Gm16092
370,Synj1,Igkv4-57-1,Pydc3
371,Wdr95,D830026I12Rik,Gm12844
372,Rnf144a,AU023871,Gm6104
373,Amica1,4933422H20Rik,Gm13777
374,Apol6,Gm17249,H60b
375,Ripk1,Gm6341,Gm10101
376,Gm6594,Adam3,Gprc5d
377,Gm13771,Nudt9,Tesk1
378,4930599N23Rik,Vldlr,Mndal
379,Mitf,Gm5432,Antxrl
380,Hsbp1l1,Kremen2,Ly9
381,Gnb4,Gm13657,Gm10337
382,Dennd4b,Tdrd12,Mir1898
383,Parn,Gm10135,E330020D12Rik
384,Ccdc12,Gal,Stx1a
385,Kcnk3,Gypa,Gm17349
386,Dnahc10,4933417A18Rik,Map4k4
387,Gm17036,Ighv1-12,Serpinb7
388,Col4a1,Gm11824,C130036L24Rik
389,Cntln,Igkv4-90,Cxcr2
390,Etv6,Gm13206,Sell
391,Gm514,Gm6169,Ptpn7
392,Ltb4r1,AC091763.1,Nav1
393,Exoc1,Tmem33,Kcnq5
394,Znhit2-ps,Gpr81,Cpne7
395,Gm17122,Cd19,AL589870.1
396,Bcl10,9530046B11Rik,Gm17146
397,Kctd17,Phip,D630008O14Rik
398,Gm16192,Ighv9-4,Nenf
399,A830007P12Rik,Zfp839,Gm7582
400,Gm15650,Rbm19,Gm15453
401,Tead4,Serpine3,Mir382
402,Slc17a7,Ighv1-55,Nek2
403,Bag1,Gm15987,4933439K11Rik
404,Znfx1,1700029M20Rik,Serpinb10-ps
405,Gm10290,Tbcel,Klf10
406,Btf3l4,Igkv4-74,Arid5a
407,Mios,Rassf3,Gm14834
408,Mcpt8,Dct,Ap1s3
409,Gm9833,Fam179b,Ppwd1
410,Gm5544,Hist4h4,Mrps36
411,Cttnbp2,Gdf3,Rassf5
412,F630110N24Rik,Btnl6,Rgs4
413,Hcls1,1700067K01Rik,Dnajb3
414,Tmem54,Reep2,5430435G22Rik
415,Ehd4,Gm13237,Cacna1s
416,Csnk2a2,Gpkow,C130026I21Rik
417,B230378P21Rik,Dcps,D430001F17Rik
418,Marveld1,A430092G05Rik,Orc2
419,Slc6a7,Atp2b2,D230002A01Rik
420,Caprin2,Gm15428,Nuf2
421,Oxct1,Erlin2,Ldlrad1
422,Slc47a2,Uba3,Inhbb
423,Cox18,Gm13150,Cd40lg
424,Cd276,Ntrk3,Npl
425,Ccnh,Gm16556,D330023K18Rik
426,Gm5582,Gm12908,Rpl31-ps4
427,Itsn2,Scand1,Zfp617
428,Ubxn2b,Tesc,Gm12474
429,Atad2b,5830416P10Rik,Ptgis
430,Kpna1,Leprel2,Actg-ps1
431,Mrps30,Esm1,2210418O10Rik
432,Mtmr12,Gba2,Gm3608
433,2210408I21Rik,AI314180,1500011B03Rik
434,G730013B05Rik,Gm14634,Gm17527
435,Rbm33,Tmem151b,Gm15848
436,9330111N05Rik,Csmd2,Gm16067
437,Sephs1,Diras2,0610009D07Rik
438,Sirt4,Rspo1,Gm14420
439,Slc25a43,Gm16237,Trpm6
440,Pdlim2,Dapk2,Tagln2
