,module 2,module 11,module 16
242,Atad2,Gm6288,Fam129a
243,1700029I15Rik,Sh2d3c,Gls
244,Tpst2,E330009J07Rik,Olfr178
245,Lyn,Plxna3,Gm12867
246,Zswim6,Igkv4-61,G630016G05Rik
247,Krr1,Mir30c-2,Gm15132
248,Gbp3,E130215H24Rik,Ube2t
249,Gm6297,Prg2,Ptprn
250,Zc3h12d,9330198N18Rik,Pvalb
251,1700045I19Rik,Ngp,Sgol2
252,Gm10197,Cenpa,Kcnj9
253,Ssh3,2810432L12Rik,Gm10364
254,Gm15477,Lingo1,Vmn1r184
255,Casz1,Cxcr3,Batf3
256,Gm17491,Fam45a,Ankmy1
257,Ptpn22,Frem1,Gm10561
258,Cenpe,Gm16105,Snord111
259,Plac8,Gm15972,Mdm4
260,3110003A17Rik,Qser1,Gm5069
261,Erp29,Cdh11,Ran
262,Ppm1j,Gm17302,Atp1a2
263,A330040F15Rik,Mir3968,Nubp1
264,Rap1gap,Gm13470,Hlx
265,Rgs19,Cmya5,Gm15452
266,Tmem156,Ppid,Cd244
267,Hmbs,Gm5611,B230216N24Rik
268,1700007L15Rik,1700080E11Rik,Stat4
269,Tmem87a,Gm15991,Ier5
270,Adnp2,Raver2,A330008L17Rik
271,Robo1,Snn,Capns2
272,Csf3r,Mastl,Grm3
273,Dnajb5,Tspan2,Cxcr7
274,Dok1,Gm15830,Ikbke
275,Gm16977,Gp5,Jund
276,Mlkl,Depdc1b,Gm15914
277,Actb,4930524L23Rik,Traf5
278,Gm15533,Ighv1-30,Gm13464
279,Spg7,Gm17173,Csnk2a1
280,Ly6g,Nfxl1,Gm14427
281,Snx1,Otud7a,Atp2b4
282,F630028O10Rik,Rhobtb3,Tmem163
283,Laptm5,Larp4b,Mapkapk2
284,Eomes,Cd72,Actr3
285,Ncf4,Miat,Fam132b
286,Gm13966,Ets1,Gm15674
287,Ranbp10,Rab39b,Gm15900
288,Lca5l,Lrmp,Gm9788
289,Serpine1,Ano5,Gm13717
290,Ada,Abcf3,Gm6133
291,Mrps18c,Gm12655,Uck2
292,Cmklr1,Igkv3-7,Sulf1
293,Esam,Blcap,Gm16193
294,Cdc42bpg,Ighv1-62-2,Pi15
295,Mtif3,Gm16738,C330006D17Rik
296,Tusc1,Gm15667,Rgs1
297,Smad7,Gm8203,Gm2449
298,Car13,Cd3g,Snora75
299,Zfp516,Tex15,Gm10424
300,Gm17410,Foxred2,Als2cr12
301,6530402F18Rik,Nuak1,Gm13982
302,Mob3c,Serpinb1-ps1,Gm5561
303,Tbpl1,Gm14939,SNORA5
304,Arl10,Flt3,Gm16581
305,BC029214,Ighv1-58,Kcnj10
306,Rhoc,Ccdc135,Gm13361
307,Stard7,Gm15050,Rpl27-ps1
308,1810030O07Rik,Cd6,2010300C02Rik
309,Mrpl39,Atp6v1d,Soat1
310,Cdkal1,Kif20a,Gm9845
311,Gm6493,Gpx5,Cxcr4
312,Gm13042,Zfp72,Nkx2-2
313,Ier5l,Igkv4-55,Gm7281
314,RP23-325I3.4.1,4632415L05Rik,Eef1a2
315,Gm17598,1810048J11Rik,Gm15868
316,Lhfpl4,Gng8,Gm16338
317,Fastkd1,Pten,Gm14405
318,Gm16894,S100a10,Tmem206
319,Dlst,Lrfn2,Ttc24
320,Mup-ps13,Ighe,Gm8292
321,Zfp964,Igkv17-121,Bcl2
322,Ccdc88b,Fam43a,AL833775.1
323,Srgap1,Rpl22l1,Il1rl1
324,C430049B03Rik,Rfc3,Gm13591
325,Sost,Fgf13,Mtap2
326,Lipg,Asb13,Akap2
327,Fblim1,Ighv3-8,Dgkd
328,Hyal3,Gpr150,Pea15a
329,4930451E10Rik,Vwf,Gm15186
330,Ogfod2,Gm14029,3110035E14Rik
331,Gm15884,Vmn2r98,Stk11ip
332,AI837181,Grrp1,Mcm3
333,Clec4a1,Gm12606,Vmn1r-ps146
334,D14Ertd668e,Kif17,Angptl1
335,Sptlc2,1190002H23Rik,Snora41
336,Zfp90,Lace1,Rpl10a-ps1
337,Psd4,Ttc9,Popdc3
338,Gbp7,Pcdhb9,Bcl7b
339,Cerk,Kif11,Gm16168
340,Gm16287,Ccdc92,Gli2
341,Vcan,Myl2,Chi3l1
342,Vgll4,Gria3,4930594C11Rik
343,4930503L19Rik,Susd5,Ovol1
344,Rab3a,Blk,Gm9762
345,Xk,Klhl7,Col3a1
346,Mboat1,Ppp1r3f,SNORA72
347,Sh2b2,Usp14,Kif21b
348,Crtam,4931415C17Rik,Ncf2
349,Mt1,Rps6ka5,Dusp10
350,Gm11295,Shc2,4732440D04Rik
351,Pcdh18,Gm5134,Muc4
352,Gm7665,Peli3,Gm12934
353,F630043A04Rik,Igkv4-79,Gm15849
354,Zbtb3,Gm15729,Sema4c
355,Ilf3,Tacc3,Nfasc
356,Msrb2,Mettl4-ps1,Pycr2
357,Col9a3,1700012B09Rik,Gm13710
358,Sat1,Klk13,Igsf9
359,Gm16272,Spocd1,Chml
360,Olig1,Ltf,Gm2199
361,Cxcr6,1700123M08Rik,Olfml2b
362,Naip5,Cd3e,Akt3
363,9430020K01Rik,Agrn,Ptpn14
364,Msr1,Prss57,Tll1
365,Gm12267,Chaf1b,Cyp2b10
366,Gm13431,Sp4,Tmcc2
367,Fryl,Cdc20,Gm1070
368,Arl6ip4,Slco4a1,Daf2
369,Plat,Gm15464,Gm10552
370,Pdcd7,Rab22a,Gm16180
371,Ftsj1,Tmprss7,Gulp1
372,Bst1,Aurka,Pcdhb4
373,S100a6,Tnfrsf17,B3gnt7
374,Pex16,Gcnt1,Lax1
375,1700034H14Rik,4932438A13Rik,Gm10608
376,Slc26a2,Gm17439,Aim2
377,Gm15283,Men1,Gm17017
378,Ipo8,Gm12454,Gm13418
379,Npepl1,Gm12394,Cenpf
380,Itpripl1,Rwdd1,Cyp2b9
381,Zdhhc17,Arrdc3,Cldn6
382,Gm17605,Gpr82,Gm10767
383,Ptpn12,Gm10827,Rnu3a
384,Ets2,Camk2a,5S_rRNA
385,Hivep3,Clca3,Gm15208
386,Fbxo3,Shh,Plekhm3
387,Slc29a3,Pola1,Enah
388,Oas1a,Ighv1-54,4921511H03Rik
389,Gm10343,Trav6-4,Slamf1
390,Fam3b,Ms4a1,Spock2
391,Gm14047,Mef2c,Col10a1
392,Tmem69,Hmgn2,Xcl1
393,RP23-268N22.1.1,Ston2,Espnl
394,Acvrl1,Slc14a1,Gm4793
395,Il5,Ncapg,Gm16092
