,Data Set,Algorithm,Central Prototype,Data Dimension,Center Dimension,Fold,Module Number,GO Significance
0,salmonella_Liver_susceptible,WGCNA,,,,3,1,35.46946673577298
0,salmonella_Liver_susceptible,WGCNA,,,,3,2,16.875090388957368
0,salmonella_Liver_susceptible,WGCNA,,,,3,3,7.032249489012152
0,salmonella_Liver_susceptible,WGCNA,,,,3,4,10005.07452233425
0,salmonella_Liver_susceptible,WGCNA,,,,3,5,1.448426136080759
0,salmonella_Liver_susceptible,WGCNA,,,,3,6,103.5996556290495
0,salmonella_Liver_susceptible,WGCNA,,,,3,7,2781.7823890291056
0,salmonella_Liver_susceptible,WGCNA,,,,3,8,281.9603510566326
0,salmonella_Liver_susceptible,WGCNA,,,,3,9,1418.0128099426
0,salmonella_Liver_susceptible,WGCNA,,,,3,10,404.75854602356264
0,salmonella_Liver_susceptible,WGCNA,,,,3,11,545.4908444940219
0,salmonella_Liver_susceptible,WGCNA,,,,3,12,45.55813175657857
0,salmonella_Liver_susceptible,WGCNA,,,,3,13,1144.7038572320835
0,salmonella_Liver_susceptible,WGCNA,,,,3,14,23.625087098708736
0,salmonella_Liver_susceptible,WGCNA,,,,3,15,1231.1856065991074
0,salmonella_Liver_susceptible,WGCNA,,,,3,16,0.0
0,salmonella_Liver_susceptible,WGCNA,,,,3,17,30.857806539023905
0,salmonella_Liver_susceptible,WGCNA,,,,3,18,0.0
0,salmonella_Liver_susceptible,WGCNA,,,,3,19,177.19096128670867
0,salmonella_Liver_susceptible,WGCNA,,,,3,20,18.720635058555157
0,salmonella_Liver_susceptible,WGCNA,,,,3,21,3.771357097597727
0,salmonella_Liver_susceptible,WGCNA,,,,3,22,7.080725723953776
0,salmonella_Liver_susceptible,WGCNA,,,,3,23,416.1586182955188
0,salmonella_Liver_susceptible,WGCNA,,,,0,0,46.403438979878494
0,salmonella_Liver_susceptible,WGCNA,,,,0,1,79.0275846559425
0,salmonella_Liver_susceptible,WGCNA,,,,0,2,10.879642942987289
0,salmonella_Liver_susceptible,WGCNA,,,,0,3,0.0
0,salmonella_Liver_susceptible,WGCNA,,,,0,4,3.1613922468605367
0,salmonella_Liver_susceptible,WGCNA,,,,0,5,9.670311636777889
0,salmonella_Liver_susceptible,WGCNA,,,,0,6,4045.6390039550115
0,salmonella_Liver_susceptible,WGCNA,,,,0,7,334.57910452231374
0,salmonella_Liver_susceptible,WGCNA,,,,0,8,4325.446443539426
0,salmonella_Liver_susceptible,WGCNA,,,,0,9,4.217463236098802
0,salmonella_Liver_susceptible,WGCNA,,,,0,10,1502.8574213134038
0,salmonella_Liver_susceptible,WGCNA,,,,0,11,131.24624893116294
0,salmonella_Liver_susceptible,WGCNA,,,,0,12,42.28418569163386
0,salmonella_Liver_susceptible,WGCNA,,,,0,13,6.566635821852238
0,salmonella_Liver_susceptible,WGCNA,,,,0,14,3.097258461020317
0,salmonella_Liver_susceptible,WGCNA,,,,0,15,47.13179757417455
0,salmonella_Liver_susceptible,WGCNA,,,,0,16,5702.05722092478
0,salmonella_Liver_susceptible,WGCNA,,,,0,17,72.83573123857448
0,salmonella_Liver_susceptible,WGCNA,,,,0,18,22.865963037553023
0,salmonella_Liver_susceptible,WGCNA,,,,0,19,53.676433181661345
0,salmonella_Liver_susceptible,WGCNA,,,,0,20,7.13156018671376
0,salmonella_Liver_susceptible,WGCNA,,,,0,21,13.411855000802204
0,salmonella_Liver_susceptible,WGCNA,,,,0,22,0.0
0,salmonella_Liver_susceptible,WGCNA,,,,0,23,853.4806227199218
0,salmonella_Liver_susceptible,WGCNA,,,,0,24,524.4587772409491
0,salmonella_Liver_susceptible,WGCNA,,,,0,25,0.0
0,salmonella_Liver_susceptible,WGCNA,,,,0,26,0.0
0,salmonella_Liver_susceptible,WGCNA,,,,0,27,0.0
0,salmonella_Liver_tolerant,WGCNA,,,,4,0,225.00745429108918
0,salmonella_Liver_tolerant,WGCNA,,,,4,1,259.74058779444823
0,salmonella_Liver_tolerant,WGCNA,,,,4,2,846.2273691797388
0,salmonella_Liver_tolerant,WGCNA,,,,4,3,342.052400273517
0,salmonella_Liver_tolerant,WGCNA,,,,4,4,3.4691584347302173
0,salmonella_Liver_tolerant,WGCNA,,,,4,5,5898.371683554031
0,salmonella_Liver_tolerant,WGCNA,,,,4,6,7620.165215532756
0,salmonella_Liver_tolerant,WGCNA,,,,4,7,0.0
0,salmonella_Liver_tolerant,WGCNA,,,,4,8,231.56727442450693
0,salmonella_Liver_tolerant,WGCNA,,,,4,9,79.84962238043387
0,salmonella_Liver_tolerant,WGCNA,,,,4,10,1.4176592069706626
0,salmonella_Liver_tolerant,WGCNA,,,,4,11,373.8177178676167
0,salmonella_Liver_tolerant,WGCNA,,,,4,12,235.82473632141924
0,salmonella_Liver_tolerant,WGCNA,,,,4,13,610.1716744635503
0,salmonella_Liver_tolerant,WGCNA,,,,4,14,0.0
0,salmonella_Liver_tolerant,WGCNA,,,,4,15,44.51471273461326
0,salmonella_Liver_tolerant,WGCNA,,,,4,16,3212.784663211891
0,salmonella_Liver_tolerant,WGCNA,,,,4,17,0.0
0,salmonella_Liver_tolerant,WGCNA,,,,4,18,760.6517193389889
0,salmonella_Liver_tolerant,WGCNA,,,,4,19,1.3949542500170786
0,gse73072_hrv_48_64_control,WGCNA,,,,1,0,77.63241334078658
0,gse73072_hrv_48_64_control,WGCNA,,,,1,1,1710.246275469584
0,gse73072_hrv_48_64_control,WGCNA,,,,1,2,81.30193905049917
0,gse73072_hrv_48_64_control,WGCNA,,,,1,3,427.6924778808408
0,gse73072_hrv_48_64_control,WGCNA,,,,1,4,3189.473868019273
0,gse73072_hrv_48_64_control,WGCNA,,,,1,5,3444.7088787857087
0,gse73072_hrv_48_64_control,WGCNA,,,,1,6,1161.4327117382602
0,gse73072_hrv_48_64_control,WGCNA,,,,1,7,84.12498550414244
0,gse73072_hrv_48_64_control,WGCNA,,,,1,8,288.1497989629693
0,gse73072_hrv_48_64_control,WGCNA,,,,1,9,17026.972674572058
0,gse73072_hrv_48_64_control,WGCNA,,,,1,10,5447.504379157337
0,gse73072_hrv_48_64_control,WGCNA,,,,1,11,726.025112076193
0,gse73072_hrv_48_64_control,WGCNA,,,,1,12,683.3400621464502
0,gse73072_hrv_48_64_control,WGCNA,,,,1,13,481.58307278684083
0,gse73072_hrv_48_64_control,WGCNA,,,,1,14,1793.7006992405652
0,gse73072_hrv_48_64_control,WGCNA,,,,1,15,4019.2965069248885
0,gse73072_hrv_48_64_control,WGCNA,,,,1,16,384.8069662444783
0,gse73072_hrv_48_64_control,WGCNA,,,,1,17,698.976601491468
0,gse73072_hrv_48_64_control,WGCNA,,,,1,18,320.0139076780161
0,gse73072_hrv_48_64_control,WGCNA,,,,1,19,285.8255696012617
0,gse73072_hrv_48_64_control,WGCNA,,,,1,20,712.8470562757489
0,gse73072_hrv_48_64_control,WGCNA,,,,1,21,2326.4879256884938
0,gse73072_hrv_48_64_control,WGCNA,,,,1,22,343.9758565098479
0,gse73072_hrv_48_64_control,WGCNA,,,,1,23,943.6039286766766
