,Data Set,Algorithm,Central Prototype,Data Dimension,Center Dimension,Fold,Module Number,BSR,Size
119,salmonella_Liver,WGCNA_LBG,eigengene,1,1,2,7,1.0,1658
120,salmonella_Liver,WGCNA_LBG,eigengene,1,1,2,8,1.0,1015
121,salmonella_Liver,WGCNA_LBG,eigengene,1,1,2,9,1.0,757
122,salmonella_Liver,WGCNA_LBG,eigengene,1,1,2,10,1.0,1148
123,salmonella_Liver,WGCNA_LBG,eigengene,1,1,2,11,1.0,3128
124,salmonella_Liver,WGCNA_LBG,eigengene,1,1,2,12,1.0,747
125,salmonella_Liver,WGCNA_LBG,eigengene,1,1,2,13,1.0,1170
126,salmonella_Liver,WGCNA_LBG,eigengene,1,1,2,14,1.0,3399
127,salmonella_Liver,WGCNA_LBG,eigengene,1,1,2,15,0.875,992
128,salmonella_Liver_susceptible,WGCNA_LBG,eigengene,1,1,3,0,0.75,297
129,salmonella_Liver_susceptible,WGCNA_LBG,eigengene,1,1,3,1,0.875,821
130,salmonella_Liver_susceptible,WGCNA_LBG,eigengene,1,1,3,2,0.875,1063
131,salmonella_Liver_susceptible,WGCNA_LBG,eigengene,1,1,3,3,1.0,650
132,salmonella_Liver_susceptible,WGCNA_LBG,eigengene,1,1,3,4,0.5,1257
133,salmonella_Liver_susceptible,WGCNA_LBG,eigengene,1,1,3,5,1.0,725
134,salmonella_Liver_susceptible,WGCNA_LBG,eigengene,1,1,3,6,0.75,848
135,salmonella_Liver_susceptible,WGCNA_LBG,eigengene,1,1,3,7,0.75,2803
136,salmonella_Liver_susceptible,WGCNA_LBG,eigengene,1,1,3,8,0.875,893
137,salmonella_Liver_susceptible,WGCNA_LBG,eigengene,1,1,3,9,0.75,1131
138,salmonella_Liver_susceptible,WGCNA_LBG,eigengene,1,1,3,10,0.875,1206
139,salmonella_Liver_susceptible,WGCNA_LBG,eigengene,1,1,3,11,0.875,606
140,salmonella_Liver_susceptible,WGCNA_LBG,eigengene,1,1,3,12,0.75,581
141,salmonella_Liver_susceptible,WGCNA_LBG,eigengene,1,1,3,13,0.75,1533
142,salmonella_Liver_susceptible,WGCNA_LBG,eigengene,1,1,3,14,0.625,630
143,salmonella_Liver_susceptible,WGCNA_LBG,eigengene,1,1,3,15,0.75,1384
144,salmonella_Liver_susceptible,WGCNA_LBG,eigengene,1,1,3,16,0.875,3435
145,salmonella_Liver_susceptible,WGCNA_LBG,eigengene,1,1,3,17,0.75,566
146,salmonella_Liver_susceptible,WGCNA_LBG,eigengene,1,1,3,18,0.875,1713
147,salmonella_Liver_susceptible,WGCNA_LBG,eigengene,1,1,3,19,1.0,718
148,salmonella_Liver_susceptible,WGCNA_LBG,eigengene,1,1,3,20,0.75,818
149,salmonella_Liver_susceptible,WGCNA_LBG,eigengene,1,1,3,21,0.875,737
150,salmonella_Liver_susceptible,WGCNA_LBG,eigengene,1,1,3,22,0.625,1205
151,salmonella_Liver_susceptible,WGCNA_LBG,eigengene,1,1,3,23,1.0,712
152,salmonella_Liver_susceptible,WGCNA_LBG,eigengene,1,1,0,0,0.625,1710
153,salmonella_Liver_susceptible,WGCNA_LBG,eigengene,1,1,0,1,0.75,739
154,salmonella_Liver_susceptible,WGCNA_LBG,eigengene,1,1,0,2,0.75,501
155,salmonella_Liver_susceptible,WGCNA_LBG,eigengene,1,1,0,3,0.875,515
156,salmonella_Liver_susceptible,WGCNA_LBG,eigengene,1,1,0,4,0.625,1273
157,salmonella_Liver_susceptible,WGCNA_LBG,eigengene,1,1,0,5,0.875,391
158,salmonella_Liver_susceptible,WGCNA_LBG,eigengene,1,1,0,6,1.0,1501
159,salmonella_Liver_susceptible,WGCNA_LBG,eigengene,1,1,0,7,1.0,380
160,salmonella_Liver_susceptible,WGCNA_LBG,eigengene,1,1,0,8,0.75,1997
161,salmonella_Liver_susceptible,WGCNA_LBG,eigengene,1,1,0,9,0.25,394
162,salmonella_Liver_susceptible,WGCNA_LBG,eigengene,1,1,0,10,1.0,1276
163,salmonella_Liver_susceptible,WGCNA_LBG,eigengene,1,1,0,11,1.0,1086
164,salmonella_Liver_susceptible,WGCNA_LBG,eigengene,1,1,0,12,0.75,702
165,salmonella_Liver_susceptible,WGCNA_LBG,eigengene,1,1,0,13,0.875,797
166,salmonella_Liver_susceptible,WGCNA_LBG,eigengene,1,1,0,14,0.625,797
167,salmonella_Liver_susceptible,WGCNA_LBG,eigengene,1,1,0,15,0.875,852
168,salmonella_Liver_susceptible,WGCNA_LBG,eigengene,1,1,0,16,1.0,1017
169,salmonella_Liver_susceptible,WGCNA_LBG,eigengene,1,1,0,17,0.875,330
