,Data Set,Center Dimension,Fold,Module Number,Explained Variance,Size
0,gse73072_hrv_48_64_False,1,1,24,0.5938215739539799,305
0,gse73072_hrv_48_64_False,1,1,25,0.42974324431553956,665
0,gse73072_hrv_48_64_False,1,1,26,0.52574243386075,275
0,gse73072_hrv_48_64_False,1,1,27,0.39904690347329735,1297
0,gse73072_hrv_48_64_False,1,1,28,0.4757135195340368,849
0,gse73072_hrv_48_64,1,1,0,0.5003181444099222,387
0,gse73072_hrv_48_64,1,1,1,0.3665019184369913,184
0,gse73072_hrv_48_64,1,1,2,0.6503747230267282,34
0,gse73072_hrv_48_64,1,1,3,0.23883439869496123,150
0,gse73072_hrv_48_64,1,1,4,0.648057151248281,704
0,gse73072_hrv_48_64,1,1,5,0.4430852451664671,426
0,gse73072_hrv_48_64,1,1,6,0.42946501462933573,616
0,gse73072_hrv_48_64,1,1,7,0.4736127535291174,715
0,gse73072_hrv_48_64,1,1,8,0.5060349794755475,605
0,gse73072_hrv_48_64,1,1,9,0.46932771949869123,765
0,gse73072_hrv_48_64,1,1,10,0.4553340871580103,1880
0,gse73072_hrv_48_64,1,1,11,0.5647555843957259,1145
0,gse73072_hrv_48_64,1,1,12,0.49109744523333204,783
0,gse73072_hrv_48_64,1,1,13,0.5604881742051949,541
0,gse73072_hrv_48_64,1,1,14,0.21392439385629225,311
0,gse73072_hrv_48_64,1,1,15,0.308785737421387,354
0,gse73072_hrv_48_64,1,1,16,0.5412591190610209,993
0,gse73072_hrv_48_64,1,1,17,0.4824889533394126,736
0,gse73072_hrv_48_64,1,1,18,0.3923746798947581,519
0,gse73072_hrv_48_64,1,1,19,0.49508920862617656,31
0,gse73072_hrv_48_64,1,1,20,0.46012886284681276,459
0,gse73072_hrv_48_64,1,1,21,0.464333100455751,761
0,gse73072_hrv_48_64,1,1,22,0.6763088632287216,86
0,gse73072_hrv_48_64,1,1,23,0.4951023493005445,499
0,gse73072_hrv_48_64,1,1,24,0.5260547563181264,502
0,gse73072_hrv_48_64,1,1,25,0.23153393798834634,158
0,gse73072_hrv_48_64,1,1,26,0.5332460380139561,558
0,gse73072_hrv_48_64,1,1,27,0.5400633155143177,227
0,gse73072_hrv_48_64,1,1,28,0.45881695833287434,441
0,gse73072_hrv_48_64,1,1,29,0.47779992075459177,1470
0,gse73072_hrv_48_64,1,1,30,0.4383869767135289,522
0,gse73072_hrv_48_64,1,1,31,0.5966414910067357,535
0,gse73072_hrv_48_64,1,1,32,0.5285312643309799,658
0,gse73072_hrv_48_64,1,1,33,0.23871639340191675,2711
0,gse73072_hrv_48_64,1,1,34,0.3910528067581398,811
0,ebola_Liver_Tolerant,1,1,0,0.9536152741964831,690
0,ebola_Liver_Tolerant,1,1,1,0.5963944790866729,3282
0,gse73072_hrv_48_64_False,1,2,0,0.23889593648013163,795
0,gse73072_hrv_48_64_False,1,2,1,0.4157644761290747,731
0,gse73072_hrv_48_64_False,1,2,2,0.44271516012633494,224
0,gse73072_hrv_48_64_False,1,2,3,0.16525830273483227,332
0,gse73072_hrv_48_64_False,1,2,4,0.3942344098935809,648
0,gse73072_hrv_48_64_False,1,2,5,0.3168771988542693,1472
0,gse73072_hrv_48_64_False,1,2,6,0.35992537049115986,914
0,gse73072_hrv_48_64_False,1,2,7,0.3190407577260261,1074
0,gse73072_hrv_48_64_False,1,2,8,0.35916796560064596,1318
0,gse73072_hrv_48_64_False,1,2,9,0.39101457335238515,412
0,gse73072_hrv_48_64_False,1,2,10,0.5017039251769717,1128
0,gse73072_hrv_48_64_False,1,2,11,0.6285656914207045,233
0,gse73072_hrv_48_64_False,1,2,12,0.6292594256259947,1845
0,gse73072_hrv_48_64_False,1,2,13,0.4325268996067883,1196
0,gse73072_hrv_48_64_False,1,2,14,0.5445269348933776,1021
0,gse73072_hrv_48_64_False,1,2,15,0.291813797620755,643
0,gse73072_hrv_48_64_False,1,2,16,0.47861855688796184,1109
0,gse73072_hrv_48_64_False,1,2,17,0.44497066681987674,926
0,gse73072_hrv_48_64_False,1,2,18,0.4106710200526103,1261
0,gse73072_hrv_48_64_False,1,2,19,0.3199004670104998,177
0,gse73072_hrv_48_64_False,1,2,20,0.32410420473452284,597
0,gse73072_hrv_48_64_False,1,2,21,0.32066467698064965,443
0,gse73072_hrv_48_64_False,1,2,22,0.5693576147328597,225
0,gse73072_hrv_48_64_False,1,2,23,0.2872601017829706,360
0,gse73072_hrv_48_64_False,1,2,24,0.4894253737201947,862
0,gse73072_hrv_48_64_False,1,2,25,0.42471704852687653,1480
0,gse73072_hrv_48_64_False,1,2,26,0.4758144507086697,851
0,ebola_Spleen_Tolerant,1,0,0,0.9765970420946241,2945
0,ebola_Spleen_Tolerant,1,0,1,0.47538221252744445,1066
0,gse73072_hrv_48_64,1,2,0,0.6952546320994566,27
0,gse73072_hrv_48_64,1,2,1,0.422896011509802,1114
0,gse73072_hrv_48_64,1,2,2,0.6860049377497064,72
0,gse73072_hrv_48_64,1,2,3,0.36283054614069915,752
0,gse73072_hrv_48_64,1,2,4,0.4764735543084989,620
0,gse73072_hrv_48_64,1,2,5,0.2965303391893328,257
0,gse73072_hrv_48_64,1,2,6,0.4531662413139246,701
0,gse73072_hrv_48_64,1,2,7,0.5084544376094564,1461
0,gse73072_hrv_48_64,1,2,8,0.4922551186804683,756
0,gse73072_hrv_48_64,1,2,9,0.43993788433455394,570
0,gse73072_hrv_48_64,1,2,10,0.3049360163403188,2913
0,gse73072_hrv_48_64,1,2,11,0.5942258121243763,1122
0,gse73072_hrv_48_64,1,2,12,0.47883687717823137,1634
0,gse73072_hrv_48_64,1,2,13,0.5209069304902751,560
0,gse73072_hrv_48_64,1,2,14,0.1581003003244984,339
0,gse73072_hrv_48_64,1,2,15,0.2592776413600415,441
0,gse73072_hrv_48_64,1,2,16,0.6151847501622083,842
0,gse73072_hrv_48_64,1,2,17,0.2627941569308013,136
0,gse73072_hrv_48_64,1,2,18,0.5304714320968338,1244
0,gse73072_hrv_48_64,1,2,19,0.2873544856642665,112
0,gse73072_hrv_48_64,1,2,20,0.36835165587866425,391
0,gse73072_hrv_48_64,1,2,21,0.4574469900190256,1080
0,gse73072_hrv_48_64,1,2,22,0.40018054166757155,519
0,gse73072_hrv_48_64,1,2,23,0.5508682373647704,607
0,gse73072_hrv_48_64,1,2,24,0.552157582576498,297
0,gse73072_hrv_48_64,1,2,25,0.5259653843936759,674
0,gse73072_hrv_48_64,1,2,26,0.3303792490049418,102
0,gse73072_hrv_48_64,1,2,27,0.4711017740050022,643
0,gse73072_hrv_48_64,1,2,28,0.4879418253761909,660
